anime_id,name,genre,type,episodes,rating,members,description
32281,Kimi no Na wa.,"Drama, Romance, School, Supernatural",Movie,1,9.37,200630,#REDIRECT [[Your Name]]
5114,Fullmetal Alchemist: Brotherhood,"Action, Adventure, Drama, Fantasy, Magic, Military, Shounen",TV,64,9.26,793665,"{{Series
|demographic=Shōnen
|genre=Adventure, Fantasy, Science Fiction
|tag=Alchemy, Steampunk, Dark Fantasy
|media=Anime, Manga, Novel, OVA, Game, Audio Drama, Guide Book, Live Action, Film
|wiki=fma
|wiki name=Full Metal Alchemist Wiki
|image=File:Fullmetal Alchemist.png
|foundingdate=April 30, 2007
|pagecount=909
|datechecked=May 5, 2021
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
{{translation|'''Fullmetal Alchemist'''|鋼の錬金術師|Hagane no Renkinjutsushi|lit meaning=Alchemist of Ste"
28977,Gintama°,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.25,114262,"{{Series
|demographic=Shōnen
|genre=Comedy, Drama, Science Fiction
|media=Anime, Manga, Light Novel, OVA, Film, Game, Guide Book, Live Action
|wiki=gintama
|wiki name=Gintama Wiki
|image=File:Gintama.png
|foundingdate=June 19, 2009
|pagecount=1,691
|datechecked=May 5, 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
'''Gintama''' (銀魂, ''Gintama'', lit. ""Silver Soul""), also known as '''Gin Tama''', is a Japanese [[manga]] written and illustrated by Hideaki Sorachi and serialized, beg"
9253,Steins;Gate,"Sci-Fi, Thriller",TV,24,9.17,673572,#redirect [[STEINS;GATE]]
9969,Gintama&#039;,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,51,9.16,151266,"{{Series
|demographic=Shōnen
|genre=Comedy, Drama, Science Fiction
|media=Anime, Manga, Light Novel, OVA, Film, Game, Guide Book, Live Action
|wiki=gintama
|wiki name=Gintama Wiki
|image=File:Gintama.png
|foundingdate=June 19, 2009
|pagecount=1,691
|datechecked=May 5, 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
'''Gintama''' (銀魂, ''Gintama'', lit. ""Silver Soul""), also known as '''Gin Tama''', is a Japanese [[manga]] written and illustrated by Hideaki Sorachi and serialized, beg"
32935,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,"Comedy, Drama, School, Shounen, Sports",TV,10,9.15,93351,
11061,Hunter x Hunter (2011),"Action, Adventure, Shounen, Super Power",TV,148,9.13,425855,#REDIRECT [[Hunter × Hunter]]
820,Ginga Eiyuu Densetsu,"Drama, Military, Sci-Fi, Space",OVA,110,9.11,80679,#REDIRECT [[Legend of the Galactic Heroes]]
15335,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",Movie,1,9.1,72534,
15417,Gintama&#039;: Enchousen,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,13,9.11,81109,
4181,Clannad: After Story,"Drama, Fantasy, Romance, Slice of Life, Supernatural",TV,24,9.06,456749,
28851,Koe no Katachi,"Drama, School, Shounen",Movie,1,9.05,102733,#REDIRECT [[A Silent Voice]]
918,Gintama,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen",TV,201,9.04,336376,"{{Series
|demographic=Shōnen
|genre=Comedy, Drama, Science Fiction
|media=Anime, Manga, Light Novel, OVA, Film, Game, Guide Book, Live Action
|wiki=gintama
|wiki name=Gintama Wiki
|image=File:Gintama.png
|foundingdate=June 19, 2009
|pagecount=1,691
|datechecked=May 5, 2021
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
'''Gintama''' (銀魂, ''Gintama'', lit. ""Silver Soul""), also known as '''Gin Tama''', is a Japanese [[manga]] written and illustrated by Hideaki Sorachi and serialized, beg"
2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25,8.98,572888,
28891,Haikyuu!! Second Season,"Comedy, Drama, School, Shounen, Sports",TV,25,8.93,179342,
199,Sen to Chihiro no Kamikakushi,"Adventure, Drama, Supernatural",Movie,1,8.93,466254,#REDIRECT [[Spirited Away]]
23273,Shigatsu wa Kimi no Uso,"Drama, Music, Romance, School, Shounen",TV,22,8.92,416397,#REDIRECT [[Your Lie in April]]
24701,Mushishi Zoku Shou 2nd Season,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.88,75894,
12355,Ookami Kodomo no Ame to Yuki,"Fantasy, Slice of Life",Movie,1,8.84,226193,
1575,Code Geass: Hangyaku no Lelouch,"Action, Mecha, Military, School, Sci-Fi, Super Power",TV,25,8.83,715151,
263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75,8.83,157670,#REDIRECT [[The First Step]]
44,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,"Action, Drama, Historical, Martial Arts, Romance, Samurai",OVA,4,8.83,129307,
1,Cowboy Bebop,"Action, Adventure, Comedy, Drama, Sci-Fi, Space",TV,26,8.82,486824,"{{Series
|demographic=Shōjo
|genre=Action, Adventure, Romance, Science Fiction
|tag=Space, Tech-noir, Crime, Western, Music, Golden Age
|media=Anime, Manga, Film, Live Action, Guide Book
|wiki=cowboybebop
|wiki name=Cowboy Bebop Wiki
|image=File:Cowboy_Bebop_key_visual.jpg
|foundingdate=January 24, 2008
|pagecount=636
|datechecked=December 27, 2024
|animangafooter=Yes
|animanganavlink=No
|adoptable=No
}}
{{translation|'''Cowboy Bebop'''|カウボーイビバップ|Kaubōi Bibappu}} is a Japanese [[anime]] series."
30276,One Punch Man,"Action, Comedy, Parody, Sci-Fi, Seinen, Super Power, Supernatural",TV,12,8.82,552458,#REDIRECT [[One-Punch Man]]
164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1,8.81,339556,#REDIRECT [[Princess Mononoke]]
7311,Suzumiya Haruhi no Shoushitsu,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,8.81,240297,
17074,Monogatari Series: Second Season,"Comedy, Mystery, Romance, Supernatural, Vampire",TV,26,8.8,205959,#REDIRECT [[Bakemonogatari]]
21939,Mushishi Zoku Shou,"Adventure, Fantasy, Historical, Mystery, Seinen, Slice of Life, Supernatural",TV,10,8.8,101351,
