pageid,title,description,description_clean
20240,"""Fushigi"" Toriatsukaimasu: Tsukumodou Kottouten","{{Series
|genre=Fantasy, Mystery
|tag=Paranormal
|media=Light Novel
|image=File:Fushigi_Toriatsukaimasu_Tsukumodou_Kottouten.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''""Fushigi"" Toriatsukaimasu: Tsukumodou Kottouten''' (“不思議”取り扱います 付喪堂骨董店, lit. ""Tsukumodo Antique Shop - We Handle ""Mysteriosities"""") is a [[light novel]] series by Akihiko Odou with illustrations by Satoshi Takeshima. 

==Plot==
In our world there are objects that go by the name of ""Relics"". Not antiques or item","""Fushigi"" Toriatsukaimasu: Tsukumodou Kottouten (“不思議”取り扱います 付喪堂骨董店, lit. ""Tsukumodo Antique Shop - We Handle ""Mysteriosities"""") is a series by Akihiko Odou with illustrations by Satoshi Takeshima. In our world there are objects that go by the name of ""Relics"". Not antiques or item"
27951,"""Ippon"" again!","{{Stub}}
{{Series
|image=File:Mou Ippon.jpg
|genre=Slice of Life, Sports
|demographic=Shōnen
|tag=Combat Sports, Martial Arts
|media=Anime, Manga
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
{{translation|'''""Ippon"" again!'''|もういっぽん！}} is a Japanese [[manga]] series by Yu Muraoka. An [[anime]] adaptation was announced with the 13th volume of the manga on July 8, 2021, and the anime series adaptation by Bakken Record premiered on January 8th, 2023.

==Plot==
After performing in their f","is a Japanese series by Yu Muraoka. An adaptation was announced with the 13th volume of the manga on July 8, 2021, and the anime series adaptation by Bakken Record premiered on January 8th, 2023. After performing in their f"
11597,"""Satsui"" Doctor Ranmaru","{{Series
|demographic=Seinen
|genre=Action, Psychological, Slice of Life
|tag=Medical
|media=Manga
|image=File:Doctor Ranmaru.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''""Satsui"" Doctor Ranmaru''' (“殺医”ドクター蘭丸) is a [[manga]] series written by Kengo Kaji and illustrated by Noriyoshi Inoue. 

==Plot==
Dr. Ranmaru might seem a little too lighthearted and lecherous for a doctor, but he becomes dead serious when it comes to the health of his patients. No one knows, though, that he","""Satsui"" Doctor Ranmaru (“殺医”ドクター蘭丸) is a series written by Kengo Kaji and illustrated by Noriyoshi Inoue. Dr. Ranmaru might seem a little too lighthearted and lecherous for a doctor, but he becomes dead serious when it comes to the health of his patients. No one knows, though, that he"
20586,(Kuro) no Tenshi,"{{Series
|demographic=Shōnen
|genre=Comedy, Fantasy
|media=Manga
|image=File:Kuro_no_Tenshi.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''(Kuro) no Tenshi''' (（くろ）の天使) is a [[manga]] series by Shoichi Hayashibara. It was serialized in Shounen Sunday Super.

==Plot==
Kujou Asagi was ""forcefully"" moved to Tokyo in order to become manga artist.

==External Links==
===Official===

===Other Sources===
[https://myanimelist.net/manga/66721/Kuro_no_Tenshi MyAnimeList]
===Other Wikis===","(Kuro) no Tenshi (（くろ）の天使) is a series by Shoichi Hayashibara. It was serialized in Shounen Sunday Super. Kujou Asagi was ""forcefully"" moved to Tokyo in order to become manga artist. = = ="
9487,+Again,"{{Series
|demographic=Shōnen
|genre=Action, Comedy, Supernatural
|tag=Martial Arts
|media=Manhwa
|image=File:+Again.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''+Again''' is a Korean [[manhwa]] written and illustrated by GO Jin-Ho.

==Plot==
Many generations ago, Sonogong, a 342 year old being, was the lone survivor of an attack on the village he vowed to protect. The leader of that attack only wanted Sonogong's great power for himself, but Sonogong would not bow before anyone.","+Again is a Korean written and illustrated by GO Jin-Ho. Many generations ago, Sonogong, a 342 year old being, was the lone survivor of an attack on the village he vowed to protect. The leader of that attack only wanted Sonogong's great power for himself, but Sonogong would not bow before anyone."
4535,+Anima,"{{Series
|genre=Adventure, Fantasy
|media=Manga
|wiki=plusanima
|wiki name=+Anima Wiki
|image=File:+Anima.png
|foundingdate=2009/05/01
|pagecount=231
|datechecked=2022/09/15
|animangafooter=Yes
|animanganavlink=Yes
|adoptable=No
}}
{{Stub}}

{{translation|'''+Anima'''|プラス アニマ|Purasu Anima}} is an internationally-published ten-volume [[manga]] series by Natsumi Mukai published by [[MediaWorks]]' [[shōnen]] magazine ''Dengeki Comic Gao!'' from January 2001 to March 2005. 

==Plot==
The plot revolv",is an internationally-published ten-volume series by Natsumi Mukai published by ' magazine Dengeki Comic Gao! from January 2001 to March 2005. The plot revolv
25850,+Tic Elder Sister,"{{Series
|image = File:Tic_Nee-san.jpg
|demographic = Seinen
|genre=Comedy
|media=Manga, ONA
}}{{Translation|'''+Tic Elder Sister (Plastic Nee-san)'''|＋プラスチック姉さん|Purasu Chikku Neesan}} is a Japanese [[manga]] series drawn by Cha Kurii and published in Young Gangan since September 2009. A 12-episode anime series was produced by Barnum Studio and TYO Animations and released in 2011 and 2012. The first five episodes were originally released online, then later on DVD and Blu-ray Disc along with the","is a Japanese series drawn by Cha Kurii and published in Young Gangan since September 2009. A 12-episode anime series was produced by Barnum Studio and TYO Animations and released in 2011 and 2012. The first five episodes were originally released online, then later on DVD and Blu-ray Disc along with"
25061,+Ultra,"{{Stub}}
[[File:Ultra_logo.jpeg|thumb|300px]]
{{Translation|'''+Ultra'''|プラスウルトラ|}} is a [[Fuji TV]] programming block dedicated to anime and broadcast every Wednesday late night/Thursday morning from 00:55 to 1:25.

==Anime aired==
{| class=""wikitable"" style=""font-size: 95%; width:75%; text-align:center;""
|-
!#
!Title
!Time Slot
!Start date
!End date
|-
|1
|[[Ingress]]: The Animation
|October 18, 2018
|December 27, 2018
|Craftar
|-
|2
|[[Revisions]]
|January 10, 2019
|March 28, 2019
|Shirogumi",is a programming block dedicated to anime and broadcast every Wednesday late night/Thursday morning from 00:55 to 1:25. {
20229,+α no Tachiichi,"{{Series
|genre=Adventure, Comedy, Fantasy
|tag=Magic
|media=Manga
|image=File:+Α_no_Tachiichi.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''+α no Tachiichi''' (+αの立ち位置) is a [[manga]] series by Yuu Geni. It was serialized in Zero-Sum Online.

==Plot==
A female protagonist should be pure of heart, good-natured, and, most importantly, beautiful. Satoki Houma has accepted that she will never be that person.

In a bizarre twist, Satoki and her classmate, Haruka Toudou, are dragged","+α no Tachiichi (+αの立ち位置) is a series by Yuu Geni. It was serialized in Zero-Sum Online. A female protagonist should be pure of heart, good-natured, and, most importantly, beautiful. Satoki Houma has accepted that she will never be that person. In a bizarre twist, Satoki and her classmate, Haruka To"
17077,-HOME-,"{{Series
|genre=Slice of Life
|media=Manga
|image=File:-HOME-.jpg
|animangafooter=No
|animanganavlink=No
|adoptable=No
}}
'''-HOME-''' (ホーム) is a [[manga]] series by Machiko Sugihara. It was serialized in Ichiraci. 

==Plot==
{{stub}}

==External Links==
===Official===

===Other Sources===
[https://myanimelist.net/manga/20810/-Home- MyAnimeList]
===Other Wikis===

==References==
<references/>

__NOTOC__",-HOME- (ホーム) is a series by Machiko Sugihara. It was serialized in Ichiraci. = = = __NOTOC__
